,Customer ID,Recommended
252,272,Belt
253,273,Shirt
254,274,Belt
255,275,Belt
256,276,Sweater
257,277,Sweater
258,278,Dress
259,279,Belt
260,280,Blouse
261,281,Shirt
262,282,Sweater
263,283,Sunglasses
264,284,Jewelry
265,285,Jeans
266,286,Belt
267,287,Blouse
268,288,Blouse
269,289,Pants
270,291,Shirt
271,292,Pants
272,293,Sweater
273,294,Blouse
274,295,Jeans
275,296,Shirt
276,298,Blouse
277,300,Sweater
278,301,Sweater
279,302,Pants
280,303,Sweater
281,304,Shirt
282,305,Belt
283,306,Pants
284,307,Blouse
285,308,Belt
286,309,Sweater
287,310,Belt
288,311,Pants
289,312,Dress
290,313,Jewelry
291,314,Belt
292,315,Belt
293,316,Belt
294,317,Belt
295,318,Sweater
296,319,Blouse
297,320,Sunglasses
298,321,Pants
299,322,Belt
300,323,Belt
301,324,Jewelry
302,325,Belt
303,326,Belt
304,327,Blouse
305,328,Belt
306,329,Blouse
307,330,Blouse
308,331,Belt
309,332,Belt
310,333,Belt
311,334,Sweater
312,335,Sweater
313,336,Blouse
314,337,Blouse
315,338,Blouse
316,339,Shirt
317,340,Sweater
318,341,Shirt
319,342,Dress
320,343,Dress
321,344,Sweater
322,345,Blouse
323,346,Blouse
324,347,Belt
325,348,Belt
326,349,Sweater
327,350,Shirt
328,351,Jeans
329,352,Belt
330,353,Dress
331,354,Blouse
332,356,Sweater
333,357,Belt
334,359,Sweater
335,360,Blouse
336,361,Jeans
337,362,Sweater
338,363,Sweater
339,364,Blouse
340,365,Belt
341,366,Dress
342,367,Jewelry
343,368,Blouse
344,369,Belt
345,370,Jewelry
346,371,Pants
347,372,Jeans
348,374,Shirt
349,375,Shirt
350,376,Blouse
351,377,Sneakers
352,378,Backpack
353,379,Sunglasses
354,380,Belt
355,381,Blouse
356,382,Dress
357,383,Sweater
358,384,Belt
359,385,Sweater
360,386,Dress
361,387,Backpack
362,388,Sweater
363,389,Belt
364,390,Belt
365,391,Sneakers
366,392,Blouse
367,393,Jeans
368,394,Sweater
369,395,Belt
370,396,Belt
371,397,Blouse
372,398,Sweater
373,399,Sweater
374,400,Sweater
375,401,Sneakers
376,402,Blouse
377,403,Blouse
378,404,Sweater
379,405,Sweater
380,406,Sweater
381,407,Shirt
382,408,Backpack
383,409,Sunglasses
384,411,Belt
385,412,Belt
386,413,Belt
387,414,Backpack
388,415,Shirt
389,416,Jeans
390,417,Jeans
391,418,Belt
392,419,Sneakers
393,420,Belt
394,421,Belt
395,422,Blouse
396,423,Pants
397,424,Jeans
398,425,Sweater
399,426,Shirt
