Customer ID,Purchase Amount (USD),Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Age,Location,Gender,Purchased
13,37,L,Brown,Summer,4,Yes,Express,Yes,Yes,17,Cash,Weekly,27,7,2,Sweater
13,68,M,Orange,Winter,4.7,Yes,Store Pickup,Yes,Yes,21,Credit Card,Every 3 Months,27,7,2,Pants
13,21,S,Magenta,Spring,3.8,Yes,Free Shipping,Yes,Yes,31,Credit Card,Fortnightly,27,7,2,Sneakers
13,79,L,Lavender,Winter,2.7,Yes,2-Day Shipping,Yes,Yes,43,Credit Card,Weekly,27,7,2,Sunglasses
13,83,S,Green,Fall,4.8,Yes,Standard,Yes,Yes,18,Debit Card,Fortnightly,27,7,2,Belt
13,36,M,Purple,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months,27,7,2,Backpack
13,94,S,Magenta,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,3,Venmo,Every 3 Months,27,7,2,Blouse
13,33,L,Gray,Winter,4.4,Yes,Store Pickup,Yes,Yes,49,Debit Card,Monthly,27,7,2,Belt
13,46,L,Silver,Summer,3.9,Yes,Next Day Air,Yes,Yes,21,Cash,Every 3 Months,27,7,2,Pants
14,70,S,Cyan,Summer,4.4,Yes,Express,Yes,Yes,5,Cash,Weekly,24,2,2,Belt
14,29,M,Magenta,Fall,4.2,Yes,Express,Yes,Yes,32,Debit Card,Every 3 Months,24,2,2,Belt
15,48,L,Gold,Summer,2.9,Yes,Express,Yes,Yes,34,Bank Transfer,Annually,45,4,1,Dress
15,26,M,Olive,Winter,2.9,Yes,Store Pickup,Yes,Yes,21,Bank Transfer,Every 3 Months,45,4,1,Dress
15,85,M,Teal,Spring,2.7,Yes,Free Shipping,Yes,Yes,43,Bank Transfer,Bi-Weekly,45,4,1,Pants
15,58,L,Violet,Spring,4.5,Yes,Express,Yes,Yes,3,Cash,Monthly,45,4,1,Blouse
15,85,M,Blue,Summer,2.7,Yes,Free Shipping,Yes,Yes,21,Credit Card,Annually,45,4,1,Pants
15,43,S,Teal,Summer,4.2,Yes,Free Shipping,Yes,Yes,32,Venmo,Monthly,45,4,1,Dress
16,53,L,Gold,Summer,3.3,Yes,Next Day Air,Yes,Yes,36,Debit Card,Fortnightly,21,5,2,Dress
16,91,M,Maroon,Spring,4.7,Yes,Free Shipping,Yes,Yes,50,Venmo,Fortnightly,21,5,2,Shirt
16,96,M,Olive,Winter,2.6,Yes,2-Day Shipping,Yes,Yes,43,Bank Transfer,Every 3 Months,21,5,2,Pants
16,72,XL,Blue,Summer,3.3,Yes,Store Pickup,Yes,Yes,24,Credit Card,Every 3 Months,21,5,2,Belt
16,96,L,Maroon,Summer,2.6,Yes,Express,Yes,Yes,36,Credit Card,Every 3 Months,21,5,2,Shirt
16,28,S,Olive,Spring,4,Yes,2-Day Shipping,Yes,Yes,21,Credit Card,Every 3 Months,21,5,2,Pants
16,40,M,Turquoise,Summer,4.1,Yes,Standard,Yes,Yes,34,Bank Transfer,Weekly,21,5,2,Dress
16,32,S,Peach,Spring,4.4,Yes,Standard,Yes,Yes,42,Bank Transfer,Every 3 Months,21,5,2,Belt
17,95,M,Charcoal,Winter,4.5,Yes,Next Day Air,Yes,Yes,2,Debit Card,Bi-Weekly,62,2,1,Sunglasses
17,41,L,Pink,Spring,3.7,Yes,2-Day Shipping,Yes,Yes,47,Cash,Bi-Weekly,62,2,1,Pants
17,53,M,Green,Fall,3.7,Yes,2-Day Shipping,Yes,Yes,44,Debit Card,Fortnightly,62,2,1,Shirt
17,47,M,Orange,Fall,3.5,Yes,Free Shipping,Yes,Yes,35,Credit Card,Monthly,62,2,1,Sweater
17,83,XL,Pink,Fall,3.6,Yes,Next Day Air,Yes,Yes,15,Cash,Quarterly,62,2,1,Pants
17,48,L,Violet,Summer,2.9,Yes,Express,Yes,Yes,29,Credit Card,Monthly,62,2,1,Dress
17,99,S,Green,Winter,4.6,Yes,Standard,Yes,Yes,18,Credit Card,Every 3 Months,62,2,1,Pants
17,87,M,Olive,Winter,4.4,Yes,2-Day Shipping,Yes,Yes,13,Venmo,Every 3 Months,62,2,1,Pants
18,62,M,Purple,Fall,4.5,Yes,Standard,Yes,Yes,46,Credit Card,Weekly,48,9,2,Sweater
18,76,S,Silver,Spring,4.6,Yes,Free Shipping,Yes,Yes,28,Credit Card,Weekly,48,9,2,Shirt
19,100,L,Pink,Fall,3.8,Yes,Free Shipping,Yes,Yes,48,PayPal,Monthly,26,7,2,Sneakers
19,73,S,Gold,Spring,3.6,Yes,Express,Yes,Yes,43,Venmo,Every 3 Months,26,7,2,Blouse
19,92,M,Teal,Winter,4.8,Yes,Store Pickup,Yes,Yes,37,Cash,Annually,26,7,2,Shirt
19,67,XL,Teal,Spring,2.6,Yes,Next Day Air,Yes,Yes,20,Bank Transfer,Annually,26,7,2,Jeans
19,40,XL,Indigo,Summer,3.7,Yes,Express,Yes,Yes,33,Debit Card,Quarterly,26,7,2,Pants
19,98,M,Maroon,Fall,2.7,Yes,Express,Yes,Yes,31,Cash,Fortnightly,26,7,2,Sunglasses
19,85,XL,White,Spring,4.6,Yes,Express,Yes,Yes,50,Credit Card,Bi-Weekly,26,7,2,Belt
19,67,L,Violet,Winter,4.8,Yes,Next Day Air,Yes,Yes,35,Credit Card,Quarterly,26,7,2,Shirt
19,89,L,Red,Winter,4,Yes,Next Day Air,Yes,Yes,22,Venmo,Bi-Weekly,26,7,2,Belt
20,24,L,Pink,Spring,4.4,Yes,2-Day Shipping,Yes,Yes,1,PayPal,Monthly,68,9,2,Sunglasses
20,96,M,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,Yes,4,Bank Transfer,Annually,68,9,2,Backpack
20,35,L,White,Summer,3.7,Yes,Standard,Yes,Yes,31,Credit Card,Monthly,68,9,2,Pants
20,67,L,Olive,Winter,3.1,Yes,Next Day Air,Yes,Yes,46,PayPal,Fortnightly,68,9,2,Sneakers
20,79,L,Purple,Spring,3.4,Yes,Next Day Air,Yes,Yes,32,Bank Transfer,Bi-Weekly,68,9,2,Shirt
20,85,M,Violet,Spring,2.6,Yes,Next Day Air,Yes,Yes,43,Bank Transfer,Fortnightly,68,9,2,Sweater
20,26,M,Black,Summer,4,Yes,Standard,Yes,Yes,26,Venmo,Fortnightly,68,9,2,Backpack
20,75,L,Purple,Summer,5,Yes,Free Shipping,Yes,Yes,9,Credit Card,Annually,68,9,2,Belt
20,65,M,Red,Spring,4.3,Yes,Free Shipping,Yes,Yes,28,PayPal,Bi-Weekly,68,9,2,Blouse
20,54,L,Maroon,Winter,3.1,Yes,Next Day Air,Yes,Yes,20,PayPal,Quarterly,68,9,2,Dress
21,95,S,Blue,Summer,3.7,Yes,Store Pickup,Yes,Yes,9,Cash,Weekly,40,6,1,Belt
21,94,M,Gray,Spring,3.8,Yes,Standard,Yes,Yes,48,Debit Card,Every 3 Months,40,6,1,Shirt
21,86,S,Blue,Spring,3.4,Yes,Free Shipping,Yes,Yes,12,Venmo,Annually,40,6,1,Shirt
21,32,L,Yellow,Summer,4.6,Yes,Express,Yes,Yes,29,Cash,Fortnightly,40,6,1,Belt
21,45,L,Orange,Fall,4.8,Yes,2-Day Shipping,Yes,Yes,27,Cash,Bi-Weekly,40,6,1,Sweater
21,76,M,Orange,Fall,4.3,Yes,Express,Yes,Yes,44,Cash,Annually,40,6,1,Belt
22,84,L,Red,Summer,4,Yes,Express,Yes,Yes,32,Bank Transfer,Annually,57,6,1,Dress
22,72,M,Olive,Winter,4.2,Yes,Standard,Yes,Yes,11,Cash,Fortnightly,57,6,1,Shirt
22,40,L,Brown,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44,Cash,Fortnightly,57,6,1,Backpack
22,89,L,Brown,Fall,3.1,Yes,Free Shipping,Yes,Yes,46,Cash,Weekly,57,6,1,Sweater
22,86,M,Gray,Spring,3.1,Yes,Next Day Air,Yes,Yes,50,PayPal,Annually,57,6,1,Sweater
22,54,M,Indigo,Winter,3.6,Yes,Next Day Air,Yes,Yes,45,Venmo,Every 3 Months,57,6,1,Shirt
22,36,L,Pink,Spring,3.9,Yes,Store Pickup,Yes,Yes,48,Cash,Every 3 Months,57,6,1,Shirt
22,89,M,Gray,Winter,4.8,Yes,Next Day Air,Yes,Yes,26,Credit Card,Weekly,57,6,1,Sweater
22,32,M,Gold,Spring,4.7,Yes,Standard,Yes,Yes,21,Credit Card,Fortnightly,57,6,1,Pants
23,67,XL,Olive,Summer,4.2,Yes,2-Day Shipping,Yes,Yes,49,PayPal,Bi-Weekly,42,4,2,Dress
23,39,L,Violet,Fall,3.7,Yes,Next Day Air,Yes,Yes,13,PayPal,Fortnightly,42,4,2,Pants
23,29,L,Indigo,Summer,3.9,Yes,Standard,Yes,Yes,46,Credit Card,Weekly,42,4,2,Shirt
23,58,M,Orange,Fall,4.7,Yes,2-Day Shipping,Yes,Yes,42,PayPal,Weekly,42,4,2,Backpack
25,65,M,Violet,Winter,2.5,Yes,Next Day Air,Yes,Yes,25,Venmo,Annually,62,7,2,Sweater
25,94,L,Gray,Fall,4.9,Yes,Store Pickup,Yes,Yes,25,Cash,Monthly,62,7,2,Dress
25,81,M,Purple,Fall,4.1,Yes,Express,Yes,Yes,12,PayPal,Quarterly,62,7,2,Belt
25,86,M,White,Winter,3.3,Yes,Free Shipping,Yes,Yes,4,Debit Card,Quarterly,62,7,2,Blouse
25,43,M,Turquoise,Spring,4.7,Yes,Free Shipping,Yes,Yes,38,PayPal,Weekly,62,7,2,Sneakers
25,29,M,Maroon,Winter,4.4,Yes,Store Pickup,Yes,Yes,42,Bank Transfer,Weekly,62,7,2,Shirt
26,95,M,White,Fall,3.8,Yes,Store Pickup,Yes,Yes,30,Venmo,Annually,37,1,2,Belt
26,28,L,Yellow,Fall,3.9,Yes,2-Day Shipping,Yes,Yes,50,Credit Card,Weekly,37,1,2,Shirt
26,46,M,Turquoise,Fall,4.9,Yes,Free Shipping,Yes,Yes,45,PayPal,Weekly,37,1,2,Blouse
26,58,L,Violet,Fall,3.1,Yes,Free Shipping,Yes,Yes,33,Credit Card,Fortnightly,37,1,2,Pants
26,48,M,Beige,Fall,2.7,Yes,Store Pickup,Yes,Yes,25,PayPal,Quarterly,37,1,2,Belt
28,43,M,Silver,Fall,3.2,Yes,Express,Yes,Yes,25,Cash,Monthly,31,3,2,Shirt
28,95,M,Teal,Fall,4.5,Yes,Standard,Yes,Yes,44,Debit Card,Quarterly,31,3,2,Jewelry
28,30,S,Black,Fall,4,Yes,Standard,Yes,Yes,21,Venmo,Fortnightly,31,3,2,Shirt
28,64,M,Purple,Summer,3.5,Yes,2-Day Shipping,Yes,Yes,31,Bank Transfer,Fortnightly,31,3,2,Shirt
28,90,M,Gray,Fall,2.6,Yes,Store Pickup,Yes,Yes,47,Debit Card,Annually,31,3,2,Blouse
28,76,M,White,Summer,3.2,Yes,Free Shipping,Yes,Yes,14,PayPal,Monthly,31,3,2,Pants
29,96,L,Cyan,Fall,4.9,Yes,Standard,Yes,Yes,17,Debit Card,Every 3 Months,45,4,1,Belt
29,47,L,Turquoise,Fall,4.5,Yes,Next Day Air,Yes,Yes,3,Venmo,Annually,45,4,1,Sunglasses
29,85,S,Brown,Summer,4.3,Yes,Express,Yes,Yes,42,Venmo,Annually,45,4,1,Shirt
29,55,M,Maroon,Winter,3.2,Yes,Standard,Yes,Yes,22,Debit Card,Annually,45,4,1,Pants
29,98,M,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,Yes,21,Venmo,Quarterly,45,4,1,Dress
29,77,S,Olive,Spring,4.3,Yes,Free Shipping,Yes,Yes,21,Bank Transfer,Quarterly,45,4,1,Shirt
29,26,M,Lavender,Fall,4,Yes,Standard,Yes,Yes,40,Debit Card,Annually,45,4,1,Shirt
30,68,S,Yellow,Fall,3,Yes,Next Day Air,Yes,Yes,1,Bank Transfer,Fortnightly,55,6,2,Dress
30,73,XL,Teal,Fall,4.1,Yes,Standard,Yes,Yes,50,Bank Transfer,Monthly,55,6,2,Shirt
31,27,M,Charcoal,Fall,3.8,Yes,Store Pickup,Yes,Yes,39,Bank Transfer,Every 3 Months,24,3,2,Blouse
32,23,M,Orange,Summer,4.6,Yes,Free Shipping,Yes,Yes,34,Venmo,Monthly,46,1,2,Blouse
32,49,M,Olive,Fall,3,Yes,Express,Yes,Yes,29,Venmo,Fortnightly,46,1,2,Backpack
32,74,M,Turquoise,Summer,3,Yes,Store Pickup,Yes,Yes,31,PayPal,Bi-Weekly,46,1,2,Sunglasses
33,67,M,Purple,Summer,3.4,Yes,Standard,Yes,Yes,8,Debit Card,Weekly,26,3,2,Shirt
34,65,S,Purple,Spring,2.6,Yes,Free Shipping,Yes,Yes,5,Credit Card,Fortnightly,40,6,2,Pants
34,60,S,Yellow,Winter,2.8,Yes,Store Pickup,Yes,Yes,7,Cash,Monthly,40,6,2,Pants
34,31,XL,Indigo,Fall,4,Yes,Store Pickup,Yes,Yes,30,Cash,Monthly,40,6,2,Sneakers
35,27,M,Green,Fall,4,Yes,Express,Yes,Yes,14,Credit Card,Every 3 Months,55,5,2,Blouse
35,80,M,Magenta,Summer,3,Yes,Express,Yes,Yes,5,Cash,Fortnightly,55,5,2,Shirt
35,30,S,Gold,Summer,3.3,Yes,Standard,Yes,Yes,3,PayPal,Every 3 Months,55,5,2,Pants
35,25,M,Maroon,Fall,2.6,Yes,Store Pickup,Yes,Yes,46,Venmo,Bi-Weekly,55,5,2,Shirt
35,35,M,Blue,Summer,3.6,Yes,Store Pickup,Yes,Yes,4,Credit Card,Weekly,55,5,2,Shirt
35,67,M,Violet,Summer,3.9,Yes,Next Day Air,Yes,Yes,42,Credit Card,Bi-Weekly,55,5,2,Jewelry
35,46,M,Turquoise,Fall,3.4,Yes,Standard,Yes,Yes,30,Cash,Annually,55,5,2,Dress
36,35,L,Brown,Winter,3.5,Yes,Express,Yes,Yes,37,Venmo,Annually,29,8,2,Shirt
36,86,L,Violet,Fall,2.8,Yes,Next Day Air,Yes,Yes,2,Bank Transfer,Annually,29,8,2,Belt
36,81,L,Black,Spring,2.7,Yes,Next Day Air,Yes,Yes,30,Credit Card,Quarterly,29,8,2,Backpack
36,42,L,Magenta,Fall,3.7,Yes,Next Day Air,Yes,Yes,47,Bank Transfer,Monthly,29,8,2,Pants
36,43,L,Lavender,Fall,4.3,Yes,2-Day Shipping,Yes,Yes,21,PayPal,Quarterly,29,8,2,Shirt
36,31,M,Violet,Fall,4.9,Yes,Store Pickup,Yes,Yes,9,Bank Transfer,Fortnightly,29,8,2,Belt
36,81,L,Green,Fall,3.3,Yes,Store Pickup,Yes,Yes,12,Debit Card,Fortnightly,29,8,2,Belt
37,61,M,Beige,Summer,4.7,Yes,Next Day Air,Yes,Yes,4,Bank Transfer,Weekly,56,1,2,Pants
37,96,XL,Purple,Summer,2.8,Yes,Store Pickup,Yes,Yes,10,Debit Card,Annually,56,1,2,Blouse
37,29,XL,Beige,Spring,3.6,Yes,2-Day Shipping,Yes,Yes,26,Credit Card,Weekly,56,1,2,Shirt
37,33,L,Cyan,Spring,3,Yes,Express,Yes,Yes,40,Cash,Fortnightly,56,1,2,Sneakers
37,32,XL,Silver,Summer,4.5,Yes,Store Pickup,Yes,Yes,34,Bank Transfer,Fortnightly,56,1,2,Sweater
37,56,S,Lavender,Summer,2.9,Yes,Standard,Yes,Yes,31,Debit Card,Annually,56,1,2,Backpack
37,94,S,Purple,Spring,3.3,Yes,Store Pickup,Yes,Yes,1,Bank Transfer,Bi-Weekly,56,1,2,Shirt
38,53,M,Pink,Spring,3.1,Yes,Express,Yes,Yes,5,Bank Transfer,Bi-Weekly,42,1,1,Pants
38,82,M,Maroon,Fall,4.4,Yes,Next Day Air,Yes,Yes,4,Credit Card,Weekly,42,1,1,Blouse
38,70,XL,Beige,Fall,3,Yes,Free Shipping,Yes,Yes,48,Venmo,Quarterly,42,1,1,Belt
38,76,M,Gray,Fall,3.9,Yes,Free Shipping,Yes,Yes,29,Cash,Every 3 Months,42,1,1,Dress
39,29,L,Turquoise,Summer,2.9,Yes,Express,Yes,Yes,12,PayPal,Bi-Weekly,51,5,2,Shirt
39,100,S,Silver,Fall,3,Yes,Standard,Yes,Yes,29,Venmo,Annually,51,5,2,Belt
39,94,M,Olive,Spring,3.1,Yes,Express,Yes,Yes,15,Debit Card,Quarterly,51,5,2,Backpack
39,25,M,Magenta,Fall,4.3,Yes,Free Shipping,Yes,Yes,34,Credit Card,Monthly,51,5,2,Pants
39,88,M,Lavender,Summer,3.9,Yes,Next Day Air,Yes,Yes,41,Credit Card,Fortnightly,51,5,2,Belt
39,78,M,Black,Fall,3.2,Yes,2-Day Shipping,Yes,Yes,41,Credit Card,Monthly,51,5,2,Pants
39,45,M,Turquoise,Winter,4.8,Yes,Standard,Yes,Yes,39,Credit Card,Fortnightly,51,5,2,Jewelry
39,73,XL,Green,Summer,3.8,Yes,Express,Yes,Yes,32,Cash,Weekly,51,5,2,Dress
39,61,S,Teal,Summer,3.3,Yes,Next Day Air,Yes,Yes,29,Venmo,Monthly,51,5,2,Dress
39,22,S,Beige,Fall,4.3,Yes,Free Shipping,Yes,Yes,15,Bank Transfer,Annually,51,5,2,Blouse
39,38,L,Magenta,Spring,2.7,Yes,Express,Yes,Yes,33,Venmo,Annually,51,5,2,Dress
39,38,S,Yellow,Fall,3.2,Yes,Next Day Air,Yes,Yes,18,Bank Transfer,Weekly,51,5,2,Pants
39,100,M,Yellow,Fall,4,Yes,Store Pickup,Yes,Yes,35,Cash,Bi-Weekly,51,5,2,Sneakers
39,64,M,Silver,Winter,3,Yes,Standard,Yes,Yes,25,PayPal,Weekly,51,5,2,Shirt
39,55,L,Silver,Summer,4.2,Yes,Free Shipping,Yes,Yes,6,Venmo,Fortnightly,51,5,2,Sweater
39,91,M,Silver,Summer,2.9,Yes,Express,Yes,Yes,17,Bank Transfer,Bi-Weekly,51,5,2,Blouse
40,38,M,Gold,Spring,4.1,Yes,Store Pickup,Yes,Yes,17,Credit Card,Monthly,28,2,1,Shirt
40,97,S,Olive,Winter,3.2,Yes,Store Pickup,Yes,Yes,44,Cash,Every 3 Months,28,2,1,Belt
40,22,L,Teal,Fall,3,Yes,2-Day Shipping,Yes,Yes,6,PayPal,Fortnightly,28,2,1,Pants
40,92,L,Maroon,Fall,4.2,Yes,2-Day Shipping,Yes,Yes,45,Debit Card,Fortnightly,28,2,1,Shirt
40,84,L,Blue,Fall,4.2,Yes,Express,Yes,Yes,7,Debit Card,Annually,28,2,1,Pants
41,93,L,Peach,Fall,4.4,Yes,Store Pickup,Yes,Yes,11,Debit Card,Every 3 Months,37,5,1,Pants
41,50,L,Blue,Summer,4.2,Yes,Next Day Air,Yes,Yes,41,Cash,Every 3 Months,37,5,1,Pants
41,64,S,Orange,Spring,2.8,Yes,2-Day Shipping,Yes,Yes,24,PayPal,Bi-Weekly,37,5,1,Pants
41,61,L,Yellow,Spring,3.7,Yes,Free Shipping,Yes,Yes,21,Venmo,Weekly,37,5,1,Shirt
41,48,M,Purple,Winter,3.5,Yes,Next Day Air,Yes,Yes,24,Bank Transfer,Annually,37,5,1,Sunglasses
41,45,S,Magenta,Spring,2.9,Yes,Store Pickup,Yes,Yes,8,Credit Card,Quarterly,37,5,1,Sweater
41,88,M,Cyan,Spring,3,Yes,Free Shipping,Yes,Yes,12,Cash,Fortnightly,37,5,1,Belt
41,57,S,Indigo,Spring,3.7,Yes,Express,Yes,Yes,48,Debit Card,Fortnightly,37,5,1,Sneakers
41,68,XL,Magenta,Summer,4.4,Yes,Store Pickup,Yes,Yes,6,Bank Transfer,Quarterly,37,5,1,Dress
41,94,XL,Gray,Spring,4.5,Yes,2-Day Shipping,Yes,Yes,14,PayPal,Fortnightly,37,5,1,Blouse
41,41,M,Turquoise,Spring,4.8,Yes,Free Shipping,Yes,Yes,34,PayPal,Annually,37,5,1,Pants
42,83,S,Beige,Summer,2.9,Yes,Free Shipping,Yes,Yes,12,Cash,Every 3 Months,35,1,2,Shirt
42,22,M,Olive,Spring,3.2,Yes,Next Day Air,Yes,Yes,11,Bank Transfer,Annually,35,1,2,Pants
42,74,L,Violet,Spring,3.3,Yes,Free Shipping,Yes,Yes,5,PayPal,Monthly,35,1,2,Shirt
